DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Isaiah Jackson,1630543,
Josh Jackson,1628367,Pistons
Justin Jackson,1628382,Bucks
Quenton Jackson,1631245,
Reggie Jackson,202704,Clippers
Jaren Jackson Jr.,1628991,Grizzlies
Justin James,1629713,Kings
LeBron James,2544,Lakers
Mike James,1628455,Nets
DeJon Jarreau,1630610,
DaQuan Jeffries,1629610,Spurs
Ty Jerome,1629660,Thunder
Isaiah Joe,1630198,76ers
Alize Johnson,1628993,Nets
BJ Johnson,1629168,
Cameron Johnson,1629661,Suns
David Johnson,1630525,
Jalen Johnson,1630552,
James Johnson,201949,Pelicans
Joe Johnson,2207,
Keldon Johnson,1629640,Spurs
Keon Johnson,1630553,
Stanley Johnson,1626169,Raptors
Tyler Johnson,204020,Nets
Nikola Jokic,203999,Nuggets
Carlik Jones,1630637,
Damian Jones,1627745,Kings
Herbert Jones,1630529,
Jemerrio Jones,1629203,
Kai Jones,1630539,
Mason Jones,1630222,
Tre Jones,1630200,Spurs
Tyus Jones,1626145,Grizzlies
Derrick Jones Jr.,1627884,Trail Blazers
DeAndre Jordan,201599,Nets
Cory Joseph,202709,Pistons
Nikola Jovic,1631107,
Johnny Juzang,1630548,
Mfiondu Kabengele,1629662,Cavaliers
Georgios Kalaitzakis,1630686,
Frank Kaminsky,1626163,Suns
Trevor Keels,1631211,
Luke Kennard,1628379,Clippers
Walker Kessler,1631117,
Braxton Key,1630296,
Sacha Killeya-Jones,1630248,
George King,1628994,
Louis King,1629663,Kings
Corey Kispert,1630557,
Maxi Kleber,1628467,Mavericks
Brandon Knight,202688,
Nathan Knight,1630233,Hawks
Kevin Knox II,1628995,Knicks
Christian Koloko,1631132,
John Konchar,1629723,Grizzlies
Furkan Korkmaz,1627788,76ers
Luke Kornet,1628436,Celtics
Vit Krejci,1630249,
Tommy Kuhse,1631339,
Arnoldas Kulboka,1629083,
Jonathan Kuminga,1630228,
Rodions Kurucs,1629066,
Kyle Kuzma,1628398,Lakers
Jake LaRavia,1631222,
Zach LaVine,203897,Bulls
Anthony Lamb,1630237,Rockets
Jeremy Lamb,203087,Pacers
Jock Landale,1629111,
Romeo Langford,1629641,Celtics
A.J. Lawson,1630639,
Jake Layman,1627774,Timberwolves
Caris LeVert,1627747,Pacers
T.J. Leaf,1628388,Trail Blazers
Jalen Lecque,1629665,
Damion Lee,1627814,Warriors
Saben Lee,1630240,Pistons
Alex Len,203458,Wizards
Kawhi Leonard,202695,Clippers
Meyers Leonard,203086,
Justin Lewis,1631171,
Scottie Lewis,1630575,
Kira Lewis Jr.,1630184,Pelicans
Damian Lillard,203081,Trail Blazers
Nassir Little,1629642,Trail Blazers
Isaiah Livers,1630587,
Kenneth Lofton Jr.,1631254,
Kevon Looney,1626172,Warriors
Brook Lopez,201572,Bucks
Robin Lopez,201577,Wizards
Didi Louzada,1629712,Pelicans
